file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	GC(%)
k141_4874	FASTA	DNA	1	72607	72607	72607.0	72607	36303.5	72607.0	36303.5	0	72607	0.00	0.00	36.93
k141_49829	FASTA	DNA	1	200478	200478	200478.0	200478	100239.0	200478.0	100239.0	0	200478	0.00	0.00	36.70
k141_51092	FASTA	DNA	1	94805	94805	94805.0	94805	47402.5	94805.0	47402.5	0	94805	0.00	0.00	35.63
k141_51532	FASTA	DNA	1	91636	91636	91636.0	91636	45818.0	91636.0	45818.0	0	91636	0.00	0.00	36.75
k141_51559	FASTA	DNA	1	6442	6442	6442.0	6442	3221.0	6442.0	3221.0	0	6442	0.00	0.00	38.37
k141_58683	FASTA	DNA	1	85531	85531	85531.0	85531	42765.5	85531.0	42765.5	0	85531	0.00	0.00	37.03
k141_61663	FASTA	DNA	1	36950	36950	36950.0	36950	18475.0	36950.0	18475.0	0	36950	0.00	0.00	38.26
k141_6245	FASTA	DNA	1	294718	294718	294718.0	294718	147359.0	294718.0	147359.0	0	294718	0.00	0.00	37.09
k141_62513	FASTA	DNA	1	41608	41608	41608.0	41608	20804.0	41608.0	20804.0	0	41608	0.00	0.00	35.79
k141_62539	FASTA	DNA	1	3996	3996	3996.0	3996	1998.0	3996.0	1998.0	0	3996	0.00	0.00	35.94
k141_63312	FASTA	DNA	1	65093	65093	65093.0	65093	32546.5	65093.0	32546.5	0	65093	0.00	0.00	38.18
k141_63441	FASTA	DNA	1	50864	50864	50864.0	50864	25432.0	50864.0	25432.0	0	50864	0.00	0.00	37.52
k141_69850	FASTA	DNA	1	52441	52441	52441.0	52441	26220.5	52441.0	26220.5	0	52441	0.00	0.00	39.10
k141_70941	FASTA	DNA	1	33518	33518	33518.0	33518	16759.0	33518.0	16759.0	0	33518	0.00	0.00	37.20
k141_74799	FASTA	DNA	1	191459	191459	191459.0	191459	95729.5	191459.0	95729.5	0	191459	0.00	0.00	36.22
k141_78103	FASTA	DNA	1	117878	117878	117878.0	117878	58939.0	117878.0	58939.0	0	117878	0.00	0.00	38.41
k141_83967	FASTA	DNA	1	9054	9054	9054.0	9054	4527.0	9054.0	4527.0	0	9054	0.00	0.00	37.77
k141_85190	FASTA	DNA	1	252629	252629	252629.0	252629	126314.5	252629.0	126314.5	0	252629	0.00	0.00	37.98
k141_85464	FASTA	DNA	1	51994	51994	51994.0	51994	25997.0	51994.0	25997.0	0	51994	0.00	0.00	37.88
k141_90251	FASTA	DNA	1	71686	71686	71686.0	71686	35843.0	71686.0	35843.0	0	71686	0.00	0.00	37.73
k141_92837	FASTA	DNA	1	170140	170140	170140.0	170140	85070.0	170140.0	85070.0	0	170140	0.00	0.00	36.47
k141_93122	FASTA	DNA	1	66961	66961	66961.0	66961	33480.5	66961.0	33480.5	0	66961	0.00	0.00	36.56
k141_93920	FASTA	DNA	1	121386	121386	121386.0	121386	60693.0	121386.0	60693.0	0	121386	0.00	0.00	38.60
k141_96390	FASTA	DNA	1	72197	72197	72197.0	72197	36098.5	72197.0	36098.5	0	72197	0.00	0.00	37.03
